text,emotion
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,Very Happy
Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,Happy
I`m missing crab legs and attending my going away instead!,Very Sad
Hicks are mean!,Very Happy
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",Very Sad
"back soon, need to run to the shops and cut the grass",Neutral
I`m up. I have a plan to transform my bedroom today. Random.,Very Happy
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",Happy
 thats another sponsor,Very Sad
" And most of us are going to be stuck in an office, some without windows",Sad
 No it`s not sad. Should make you proud,Neutral
"   Sorry, we`ll try to keep it down.",Very Sad
is home alone.. Doing hw,Very Happy
"According to , a quarter of families under six live in poverty.",Neutral
the plan to not spend money is not going well,Very Sad
uploading all my bamboozle pictures of facebook,Very Happy
 congratulations ! you guys finish a month early than we do. booo,Very Happy
" actually, I wish I was back in Tahoe.  I miss it there.",Neutral
